slug,brand,model,year,category,transmission,fuel,seats,doors,luggage,ac,units_count,plates,price_low_season_mad,price_high_season_mad,deposit_mad,km_per_day,min_days,prep_buffer_minutes,purpose_tags,photo_folder,notes
dacia-logan-diesel,Dacia,Logan,2023,economy,manual,diesel,5,4,2,yes,3,"",220,280,3000,unlimited,1,120,city;family,dacia-logan-diesel,"PRICE UNVERIFIED - market-derived. 3 units seen (2022, 2023, and one unspecified year) - confirm count and years."
hyundai-grand-i10-auto,Hyundai,Grand i10,2023,economy,automatic,petrol,5,5,1,yes,3,"",240,300,3000,unlimited,1,120,city,hyundai-grand-i10-auto,"PRICE UNVERIFIED. 3 listings seen - confirm whether all are the same model/year."
renault-clio-4-diesel,Renault,Clio 4,2022,economy,manual,diesel,5,5,1,yes,1,"",230,290,3000,unlimited,1,120,city,renault-clio-4-diesel,"PRICE UNVERIFIED."
renault-clio-4-auto-diesel,Renault,Clio 4,2022,compact,automatic,diesel,5,5,1,yes,1,"",260,320,3000,unlimited,1,120,city,renault-clio-4-auto-diesel,"PRICE UNVERIFIED. Separate product from the manual - different transmission, different price."
citroen-c3-diesel,Citroën,C3,2024,compact,manual,diesel,5,5,1,yes,2,"",250,310,3000,unlimited,1,120,city,citroen-c3-diesel,"PRICE UNVERIFIED. Two listings, one flagged 'tt options' - confirm if trim differs enough to split."
mg-3-auto,MG,MG3,2024,compact,automatic,petrol,5,5,1,yes,2,"",270,330,3000,unlimited,1,120,city,mg-3-auto,"PRICE UNVERIFIED. Two listings seen."
peugeot-208-manuelle-diesel,Peugeot,208,2024,compact,manual,diesel,5,5,1,yes,1,"",260,320,3000,unlimited,1,120,city;business,peugeot-208-manuelle-diesel,"PRICE UNVERIFIED."
peugeot-208-auto-hybride,Peugeot,208,2024,compact,automatic,hybrid,5,5,1,yes,1,"",300,370,4000,unlimited,1,120,city;business,peugeot-208-auto-hybride,"PRICE UNVERIFIED. Hybrid + auto priced above the manual diesel."
hyundai-accent-auto,Hyundai,Accent,2023,compact,automatic,petrol,5,4,2,yes,4,"",280,350,3500,unlimited,1,120,city;business;family,hyundai-accent-auto,"PRICE UNVERIFIED. FOUR listings seen (2023 x2, 'NEW ACCENT BVA', one unspecified) - most likely one model with 4 units. CONFIRM."
citroen-c-elysee-diesel,Citroën,C-Élysée,2022,sedan,manual,diesel,5,4,2,yes,1,"",260,320,3000,unlimited,1,120,city;family,citroen-c-elysee-diesel,"PRICE UNVERIFIED."
fiat-tipo-diesel,Fiat,Tipo,2022,sedan,manual,diesel,5,4,2,yes,1,"",270,330,3000,unlimited,1,120,family,fiat-tipo-diesel,"PRICE UNVERIFIED."
fiat-500-auto,Fiat,500,2022,economy,automatic,petrol,4,3,1,yes,1,"",280,350,3500,unlimited,1,120,city,fiat-500-auto,"PRICE UNVERIFIED."
dacia-dokker-diesel,Dacia,Dokker,2022,van,manual,diesel,5,5,4,yes,1,"",250,300,3000,unlimited,1,120,family;cargo,dacia-dokker-diesel,"PRICE UNVERIFIED. Utility van - confirm seats and whether it is rented as passenger or cargo."
dacia-duster-diesel,Dacia,Duster,2023,suv,manual,diesel,5,5,3,yes,1,"",380,480,5000,unlimited,1,120,family;excursion,dacia-duster-diesel,"PRICE UNVERIFIED."
peugeot-2008-auto,Peugeot,2008,2024,suv,automatic,petrol,5,5,3,yes,1,"",400,500,5000,unlimited,1,120,family;business,peugeot-2008-auto,"PRICE UNVERIFIED."
fiat-500x-auto,Fiat,500X,2022,suv,automatic,petrol,5,5,3,yes,1,"",400,500,5000,unlimited,1,120,city;family,fiat-500x-auto,"PRICE UNVERIFIED. Listed 'tt options'."
jeep-renegade-diesel-auto,Jeep,Renegade,2022,suv,automatic,diesel,5,5,3,yes,1,"",450,560,5000,unlimited,1,120,family;excursion,jeep-renegade-diesel-auto,"PRICE UNVERIFIED."
volkswagen-t-roc-diesel,Volkswagen,T-Roc,2023,suv,manual,diesel,5,5,3,yes,1,"",480,600,5000,unlimited,1,120,family;business,volkswagen-t-roc-diesel,"PRICE UNVERIFIED."
volkswagen-t-roc-auto,Volkswagen,T-Roc,2024,suv,automatic,petrol,5,5,3,yes,1,"",500,620,5000,unlimited,1,120,family;business,volkswagen-t-roc-auto,"PRICE UNVERIFIED."
hyundai-tucson-auto,Hyundai,Tucson,2024,suv,automatic,petrol,5,5,3,yes,1,"",500,620,5000,unlimited,1,120,family;business,hyundai-tucson-auto,"PRICE UNVERIFIED."
hyundai-tucson-diesel-4x4,Hyundai,Tucson,2024,suv,automatic,diesel,5,5,3,yes,1,"",550,680,6000,unlimited,1,120,family;excursion,hyundai-tucson-diesel-4x4,"PRICE UNVERIFIED. 4x4 - confirm it is genuinely AWD and priced above the 2WD."
hyundai-creta-auto,Hyundai,Creta,2025,suv,automatic,petrol,5,5,3,yes,1,"",480,600,5000,unlimited,1,120,family,hyundai-creta-auto,"PRICE UNVERIFIED."
hyundai-creta-4x4-auto,Hyundai,Creta,2025,suv,automatic,petrol,5,5,3,yes,1,"",520,650,6000,unlimited,1,120,family;excursion,hyundai-creta-4x4-auto,"PRICE UNVERIFIED."
jetour-t2,Jetour,T2,2025,suv,automatic,hybrid,5,5,3,yes,1,"",600,750,6000,unlimited,1,120,excursion;business,jetour-t2,"PRICE UNVERIFIED. Listed as HEV/EV - CONFIRM which powertrain, it changes the range and the copy."
peugeot-3008-hybride,Peugeot,3008,2024,premium,automatic,hybrid,5,5,3,yes,1,"",650,800,6000,unlimited,1,120,business;family,peugeot-3008-hybride,"PRICE UNVERIFIED."
volkswagen-passat-cc-auto,Volkswagen,Passat CC,2022,premium,automatic,diesel,5,4,3,yes,1,"",700,870,8000,250,1,120,business;wedding,volkswagen-passat-cc-auto,"PRICE UNVERIFIED. Mileage capped at 250 km/day like the other premium cars - confirm."
jeep-grand-cherokee-diesel,Jeep,Grand Cherokee,2022,luxury,automatic,diesel,5,5,4,yes,1,"",900,1100,10000,250,2,120,business;wedding;excursion,jeep-grand-cherokee-diesel,"PRICE UNVERIFIED. min_days 2 assumed for a luxury unit - confirm."
